MsgID.STATE,1520429622.4273419,False,False
MsgID.GLOBAL_HOME,1520429624.5194075,-121.9939365,37.4137407,0.0000000
MsgID.GLOBAL_POSITION,1520429624.5214128,-121.9939367,37.4137396,0.0410000
MsgID.LOCAL_VELOCITY,1520429624.5214128,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1520429624.5234182,-0.1225917,-0.0229726,-0.0417990
MsgID.LOCAL_VELOCITY,1520429624.5234182,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,1520429624.7675676,-121.9939365,37.4137397,0.0440000
MsgID.LOCAL_VELOCITY,1520429624.7675676,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1520429624.7695732,-0.1090358,0.0000000,-0.0445347
MsgID.LOCAL_VELOCITY,1520429624.7695732,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,1520429625.0177333,-121.9939365,37.4137407,0.0580000
MsgID.LOCAL_VELOCITY,1520429625.0177333,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1520429625.0197389,-0.0005562,-0.0061674,-0.0582791
MsgID.LOCAL_VELOCITY,1520429625.0197389,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,1520429625.2673974,-121.9939368,37.4137407,0.0750000
MsgID.LOCAL_VELOCITY,1520429625.2673974,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1520429625.2694027,0.0000000,-0.0329791,-0.0756974
MsgID.LOCAL_VELOCITY,1520429625.2694027,0.0000000,0.0000000,-0.0000000
MsgID.STATE,1520429625.5160592,False,False
MsgID.GLOBAL_HOME,1520429625.5185659,-121.9939365,37.4137407,0.0000000
MsgID.LOCAL_POSITION,1520429625.5200698,0.0003104,0.1273841,-0.0950650
MsgID.LOCAL_VELOCITY,1520429625.5200698,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,1520429625.5225763,-121.9939350,37.4137407,0.0950000
MsgID.LOCAL_VELOCITY,1520429625.5225763,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1520429625.7682302,0.0000259,0.1203578,-0.1059987
MsgID.LOCAL_VELOCITY,1520429625.7682302,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,1520429625.7702353,-121.9939351,37.4137407,0.1050000
MsgID.LOCAL_VELOCITY,1520429625.7702353,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1520429626.0188968,-0.0312057,0.1193540,-0.1067742
MsgID.LOCAL_VELOCITY,1520429626.0188968,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,1520429626.0214038,-121.9939351,37.4137404,0.1060000
MsgID.LOCAL_VELOCITY,1520429626.0214038,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1520429626.2675583,-0.0433129,0.1795485,-0.0956711
MsgID.LOCAL_VELOCITY,1520429626.2675583,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,1520429626.2695639,-121.9939344,37.4137403,0.0950000
MsgID.LOCAL_VELOCITY,1520429626.2695639,0.0000000,0.0000000,0.0000000
